trip_type,slug,trip_title,start_date,variant_name,price_inr
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-20,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-22,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-22,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-22,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-22,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-22,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-22,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-24,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-24,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-24,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-24,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-24,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-24,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-27,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-27,RE Himalayan - Pillion - Triple Sharing,23000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-27,RE Himalayan - Solo - Double Sharing,31000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-27,RE Himalayan - Solo - Triple Sharing,28000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-27,SIC (Seat in Coach) - Double Sharing,22000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-27,SIC (Seat in Coach) - Triple Sharing,19000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-29,RE Himalayan - Pillion - Double Sharing,26000
domestic,leh-to-leh-with-turtuk-5n,Leh to Leh with Turtuk 5N,2026-04-29,RE Himalayan - Pillion - Triple Sharing,23000
