trip_slug,trip_title,date,variant_name,sheet_transport_hint,base_price_supabase,early_bird_discount_supabase,payable_supabase,sheet_original_price,sheet_discounted_price,price_match_sheet,discount_match_sheet,early_bird_enabled,early_bird_label,notes
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-21,RE Himalayan 411 (SOLO RIDER),,34000,3001,30999,34000,30999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-21,RE Himalayan 450 (DUAL RIDER),,33000,3001,29999,33000,29999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-21,RE Himalayan 450 (SOLO RIDER),,38000,3001,34999,38000,34999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-21,SIT (Seat in Coach),,23000,2001,20999,23000,20999,yes,yes,true,Early Bird Summer Sale,
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-21,Standard,,0,0,0,,,,,false,,variant not found in sheet map
ladakh-apricot-blossom,Ladakh Apricot Blossom 6N7D - TRIPLE SHARING,2026-04-21,Triple Sharing,,29999,0,29999,,,,,false,,variant not found in sheet map
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-03,RE Himalayan - Double - Triple Sharing,,23000,3000,20000,,,,,true,Early Bird Summer Sale,variant not found in sheet map
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-03,RE Himalayan - Double Sharing - Double,,26000,3000,23000,,,,,true,Early Bird Summer Sale,variant not found in sheet map
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-03,RE Himalayan - Pillion - Double Sharing,,26000,3000,23000,26000,23000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-03,RE Himalayan - Pillion - Triple Sharing,,23000,3000,20000,23000,20000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-03,RE Himalayan - Solo - Double Sharing,,31000,3000,28000,31000,28000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-03,RE Himalayan - Solo - Triple Sharing,,28000,3000,25000,28000,25000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-03,SIC (Seat in Coach) - Double Sharing,,22000,2000,20000,,,,,true,Early Bird Summer Sale,variant not found in sheet map
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-03,SIC (Seat in Coach) - Triple Sharing,,19000,2000,17000,19000,17000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-03,SIC (Seat in Coach)- Double Sharing,,22000,2000,20000,22000,20000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-06,RE Himalayan - Double - Triple Sharing,,23000,3000,20000,,,,,true,Early Bird Summer Sale,variant not found in sheet map
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-06,RE Himalayan - Double Sharing - Double,,26000,3000,23000,,,,,true,Early Bird Summer Sale,variant not found in sheet map
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-06,RE Himalayan - Pillion - Double Sharing,,26000,3000,23000,26000,23000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-06,RE Himalayan - Pillion - Triple Sharing,,23000,3000,20000,23000,20000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-06,RE Himalayan - Solo - Double Sharing,,31000,3000,28000,31000,28000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-06,RE Himalayan - Solo - Triple Sharing,,28000,3000,25000,28000,25000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-06,SIC (Seat in Coach) - Double Sharing,,22000,2000,20000,,,,,true,Early Bird Summer Sale,variant not found in sheet map
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-06,SIC (Seat in Coach) - Triple Sharing,,19000,2000,17000,19000,17000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-06,SIC (Seat in Coach)- Double Sharing,,22000,2000,20000,22000,20000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-08,RE Himalayan - Double - Triple Sharing,,23000,3000,20000,,,,,true,Early Bird Summer Sale,variant not found in sheet map
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-08,RE Himalayan - Double Sharing - Double,,26000,3000,23000,,,,,true,Early Bird Summer Sale,variant not found in sheet map
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-08,RE Himalayan - Pillion - Double Sharing,,26000,3000,23000,26000,23000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-08,RE Himalayan - Pillion - Triple Sharing,,23000,3000,20000,23000,20000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-08,RE Himalayan - Solo - Double Sharing,,31000,3000,28000,31000,28000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-08,RE Himalayan - Solo - Triple Sharing,,28000,3000,25000,28000,25000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-08,SIC (Seat in Coach) - Double Sharing,,22000,2000,20000,,,,,true,Early Bird Summer Sale,variant not found in sheet map
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-08,SIC (Seat in Coach) - Triple Sharing,,19000,2000,17000,19000,17000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-08,SIC (Seat in Coach)- Double Sharing,,22000,2000,20000,22000,20000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-10,RE Himalayan - Double - Triple Sharing,,23000,3000,20000,,,,,true,Early Bird Summer Sale,variant not found in sheet map
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-10,RE Himalayan - Double Sharing - Double,,26000,3000,23000,,,,,true,Early Bird Summer Sale,variant not found in sheet map
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-10,RE Himalayan - Pillion - Double Sharing,,26000,3000,23000,26000,23000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-10,RE Himalayan - Pillion - Triple Sharing,,23000,3000,20000,23000,20000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-10,RE Himalayan - Solo - Double Sharing,,31000,3000,28000,31000,28000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-10,RE Himalayan - Solo - Triple Sharing,,28000,3000,25000,28000,25000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-10,SIC (Seat in Coach) - Double Sharing,,22000,2000,20000,,,,,true,Early Bird Summer Sale,variant not found in sheet map
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-10,SIC (Seat in Coach) - Triple Sharing,,19000,2000,17000,19000,17000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-10,SIC (Seat in Coach)- Double Sharing,,22000,2000,20000,22000,20000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-13,RE Himalayan - Double - Triple Sharing,,23000,3000,20000,,,,,true,Early Bird Summer Sale,variant not found in sheet map
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-13,RE Himalayan - Double Sharing - Double,,26000,3000,23000,,,,,true,Early Bird Summer Sale,variant not found in sheet map
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-13,RE Himalayan - Pillion - Double Sharing,,26000,3000,23000,26000,23000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-13,RE Himalayan - Pillion - Triple Sharing,,23000,3000,20000,23000,20000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-13,RE Himalayan - Solo - Double Sharing,,31000,3000,28000,31000,28000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-13,RE Himalayan - Solo - Triple Sharing,,28000,3000,25000,28000,25000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-13,SIC (Seat in Coach) - Double Sharing,,22000,2000,20000,,,,,true,Early Bird Summer Sale,variant not found in sheet map
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-13,SIC (Seat in Coach) - Triple Sharing,,19000,2000,17000,19000,17000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-13,SIC (Seat in Coach)- Double Sharing,,22000,2000,20000,22000,20000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-15,RE Himalayan - Double - Triple Sharing,,23000,3000,20000,,,,,true,Early Bird Summer Sale,variant not found in sheet map
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-15,RE Himalayan - Double Sharing - Double,,26000,3000,23000,,,,,true,Early Bird Summer Sale,variant not found in sheet map
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-15,RE Himalayan - Pillion - Double Sharing,,26000,3000,23000,26000,23000,yes,yes,true,Early Bird Summer Sale,
ladakh-leh-to-leh-with-turtuk,Leh-Leh with Turtuk 5N6D,2026-04-15,RE Himalayan - Pillion - Triple Sharing,,23000,3000,20000,23000,20000,yes,yes,true,Early Bird Summer Sale,
